('1235603336.013237', '1235603336.14752')
('1235603338.079319', '1235603338.80421')
('1235603338.112704', '1235603338.116596')
('1235603338.145967', '1235603338.147851')
('1235603338.179345', '1235603338.179107')
('1235603338.2126', '1235603338.2885')
('1235603338.245987', '1235603338.249431')
('1235603338.279245', '1235603338.280686')
('1235603338.312625', '1235603338.311941')
('1235603338.346012', '1235603338.343196')
('1235603338.379269', '1235603338.382265')
('1235603338.412668', '1235603338.413521')
('1235603338.445907', '1235603338.444776')
('1235603338.479293', '1235603338.476031')
('1235603338.512551', '1235603338.507286')
('1235603338.545931', '1235603338.546355')
('1235603338.579193', '1235603338.585424')
('1235603338.612564', '1235603338.608865')
('1235603338.645822', '1235603338.647934')
('1235603338.6792', '1235603338.007203')
('1235603338.712709', '1235603338.710445')
('1235603338.745848', '1235603338.749514')
('1235603338.779104', '1235603338.780769')
('1235603338.812483', '1235603338.812024')
('1235603338.845877', '1235603338.843279')
('1235603338.87913', '1235603338.085341')
('1235603338.912511', '1235603338.913604')
('1235603338.945765', '1235603338.944859')
('1235603338.979151', '1235603338.976114')
('1235603339.012409', '1235603339.13239')
('1235603339.045801', '1235603339.046438')
('1235603339.079046', '1235603339.077693')
('1235603339.112435', '1235603339.108948')
('1235603339.145695', '1235603339.148017')
('1235603339.179074', '1235603339.179273')
('1235603339.21233', '1235603339.022997')
('1235603339.245714', '1235603339.249597')
('1235603339.278968', '1235603339.280852')
('1235603339.312353', '1235603339.312107')
('1235603339.345736', '1235603339.343362')
('1235603339.378993', '1235603339.382431')
('1235603339.412373', '1235603339.413687')
('1235603339.445636', '1235603339.444942')
('1235603339.479013', '1235603339.476197')
('1235603339.512275', '1235603339.515266')
('1235603339.545652', '1235603339.546521')
('1235603339.578911', '1235603339.577776')
('1235603339.612295', '1235603339.609031')
('1235603339.645553', '1235603339.640286')
('1235603339.678935', '1235603339.679355')
('1235603339.712186', '1235603339.710611')
('1235603339.745565', '1235603339.741866')
('1235603339.778823', '1235603339.780935')
('1235603339.812208', '1235603339.820004')
('1235603339.845464', '1235603339.843445')
('1235603339.878847', '1235603339.882514')
('1235603339.91223', '1235603339.093321')
('1235603339.945487', '1235603339.945024')
('1235603339.978873', '1235603339.984093')
('1235603340.012128', '1235603340.015349')
('1235603340.04551', '1235603340.03879')
('1235603340.078765', '1235603340.077859')
('1235603340.112149', '1235603340.109114')
('1235603340.145405', '1235603340.148183')
('1235603340.17879', '1235603340.20288')
('1235603340.212045', '1235603340.210694')
('1235603340.245431', '1235603340.241949')
('1235603340.278686', '1235603340.281018')
('1235603340.312071', '1235603340.312273')
('1235603340.345326', '1235603340.343528')
('1235603340.378711', '1235603340.382597')
('1235603340.412092', '1235603340.413852')
('1235603340.445351', '1235603340.445107')
('1235603340.478731', '1235603340.476363')
('1235603340.512164', '1235603340.515432')
('1235603340.545372', '1235603340.546687')
('1235603340.57883', '1235603340.59357')
('1235603340.612011', '1235603340.609197')
('1235603340.646261', '1235603340.648266')
('1235603340.678658', '1235603340.679521')
('1235603340.711914', '1235603340.710777')
('1235603340.745295', '1235603340.742032')
('1235603340.779781', '1235603340.781101')
('1235603340.811931', '1235603340.812356')
('1235603340.845218', '1235603340.843611')
('1235603340.878566', '1235603340.874866')
('1235603340.91195', '1235603340.093487')
('1235603340.945213', '1235603340.953004')
('1235603340.978592', '1235603340.976445')
('1235603341.011846', '1235603341.10928')
('1235603341.045236', '1235603341.49997')
('1235603341.078497', '1235603341.78908')
('1235603341.111876', '1235603341.117094')
('1235603341.145132', '1235603341.148349')
('1235603341.178563', '1235603341.179604')
('1235603341.211775', '1235603341.210859')
('1235603341.245223', '1235603341.242115')
('1235603341.278411', '1235603341.281183')
('1235603341.311793', '1235603341.312439')
('1235603341.345052', '1235603341.343694')
('1235603341.378444', '1235603341.374949')
('1235603341.411816', '1235603341.414018')
('1235603341.445077', '1235603341.445273')
('1235603341.478465', '1235603341.476528')
('1235603341.511719', '1235603341.515597')
('1235603341.545108', '1235603341.546853')
('1235603341.578364', '1235603341.578108')
('1235603341.611739', '1235603341.609363')
('1235603341.645005', '1235603341.648432')
('1235603341.678381', '1235603341.679687')
('1235603341.711639', '1235603341.710942')
('1235603341.74502', '1235603341.72657')
('1235603341.778619', '1235603341.781266')
('1235603341.811663', '1235603341.812522')
('1235603341.84492', '1235603341.085839')
('1235603341.878299', '1235603341.875032')
('1235603341.911554', '1235603341.914101')
('1235603341.944933', '1235603341.945356')
('1235603341.978318', '1235603341.976611')
('1235603342.011572', '1235603342.11726')
('1235603342.044958', '1235603342.46888')
('1235603342.078214', '1235603342.078191')
('1235603342.111755', '1235603342.109446')
('1235603342.144854', '1235603342.148515')
('1235603342.178708', '1235603342.171956')
('1235603342.211493', '1235603342.211025')
('1235603342.24488', '1235603342.24228')
('1235603342.278135', '1235603342.281349')
('1235603342.311975', '1235603342.312604')
('1235603342.344774', '1235603342.351674')
('1235603342.378853', '1235603342.375115')
('1235603342.411414', '1235603342.414184')
('1235603342.444822', '1235603342.445439')
('1235603342.478179', '1235603342.476694')
('1235603342.512206', '1235603342.515763')
('1235603342.544822', '1235603342.547018')
('1235603342.578878', '1235603342.578274')
('1235603342.61146', '1235603342.062563')
('1235603342.64472', '1235603342.63297')
('1235603342.678101', '1235603342.679853')
('1235603342.711367', '1235603342.711108')
('1235603342.744738', '1235603342.742363')
('1235603342.777998', '1235603342.781432')
('1235603342.81138', '1235603342.79706')
('1235603342.844639', '1235603342.843943')
('1235603342.878019', '1235603342.875198')
('1235603342.911371', '1235603342.914267')
('1235603342.944659', '1235603342.945522')
('1235603342.978044', '1235603342.976777')
('1235603343.011292', '1235603343.08617')
('1235603343.044743', '1235603343.047101')
('1235603343.077932', '1235603343.078357')
('1235603343.111792', '1235603343.109612')
('1235603343.144572', '1235603343.140867')
('1235603343.1784', '1235603343.02366')
('1235603343.211212', '1235603343.211191')
('1235603343.245199', '1235603343.242446')
('1235603343.277853', '1235603343.281515')
('1235603343.312101', '1235603343.304956')
('1235603343.344493', '1235603343.344026')
('1235603343.377885', '1235603343.375281')
('1235603343.411135', '1235603343.406536')
('1235603343.444523', '1235603343.445605')
('1235603343.477904', '1235603343.484674')
('1235603343.511166', '1235603343.508115')
('1235603343.54455', '1235603343.054915')
('1235603343.577802', '1235603343.578439')
('1235603343.611184', '1235603343.609694')
('1235603343.644441', '1235603343.648763')
('1235603343.677829', '1235603343.680019')
('1235603343.711086', '1235603343.711274')
('1235603343.744464', '1235603343.742529')
('1235603343.777723', '1235603343.781598')
('1235603343.811108', '1235603343.812853')
('1235603343.844369', '1235603343.844108')
('1235603343.877752', '1235603343.875364')
('1235603343.911009', '1235603343.914433')
('1235603343.944389', '1235603343.945688')
('1235603343.977771', '1235603343.976943')
('1235603344.011072', '1235603344.09415')
('1235603344.044413', '1235603344.047267')
('1235603344.077666', '1235603344.77395')
('1235603344.111043', '1235603344.109777')
('1235603344.144303', '1235603344.141033')
('1235603344.177683', '1235603344.180102')
('1235603344.210941', '1235603344.211357')
('1235603344.244321', '1235603344.242612')
('1235603344.277582', '1235603344.273867')
('1235603344.310963', '1235603344.312936')
('1235603344.34422', '1235603344.32075')
('1235603344.377603', '1235603344.375447')
('1235603344.410864', '1235603344.414515')
('1235603344.444244', '1235603344.445771')
('1235603344.4775', '1235603344.03164')
('1235603344.510883', '1235603344.508281')
('1235603344.544264', '1235603344.539536')
('1235603344.577525', '1235603344.578605')
('1235603344.610904', '1235603344.617674')
('1235603344.644177', '1235603344.641115')
('1235603344.677547', '1235603344.680185')
('1235603344.710815', '1235603344.703626')
('1235603344.744187', '1235603344.742695')
('1235603344.777446', '1235603344.781764')
('1235603344.810827', '1235603344.813019')
('1235603344.844097', '1235603344.844274')
('1235603344.877468', '1235603344.875529')
('1235603344.910729', '1235603344.914598')
('1235603344.944106', '1235603344.945853')
('1235603344.977373', '1235603344.977109')
('1235603345.01075', '1235603345.00055')
('1235603345.04413', '1235603345.008364')
('1235603345.077385', '1235603345.78193')
('1235603345.11077', '1235603345.008364')
('1235603345.144025', '1235603345.141198')
('1235603345.17741', '1235603345.16464')
('1235603345.210658', '1235603345.211523')
('1235603345.244043', '1235603345.242778')
('1235603345.277298', '1235603345.274033')
('1235603345.310686', '1235603345.313102')
('1235603345.343939', '1235603345.344357')
('1235603345.377323', '1235603345.375612')
('1235603345.410578', '1235603345.406868')
('1235603345.444034', '1235603345.445936')
('1235603345.477219', '1235603345.477192')
('1235603345.510829', '1235603345.508447')
('1235603345.543984', '1235603345.547516')
('1235603345.577669', '1235603345.578771')
('1235603345.610624', '1235603345.610026')
('1235603345.64389', '1235603345.063061')
('1235603345.67727', '1235603345.68035')
('1235603345.710533', '1235603345.711606')
('1235603345.743908', '1235603345.742861')
('1235603345.777167', '1235603345.774116')
('1235603345.810549', '1235603345.813185')
('1235603345.843808', '1235603345.836626')
('1235603345.877193', '1235603345.875695')
('1235603345.910472', '1235603345.914764')
('1235603345.943828', '1235603345.946019')
('1235603345.977089', '1235603345.977275')
('1235603346.010742', '1235603346.13355')
('1235603346.043854', '1235603346.46173')
('1235603346.077112', '1235603346.078854')
('1235603346.110495', '1235603346.110109')
('1235603346.143755', '1235603346.141364')
('1235603346.177134', '1235603346.180433')
('1235603346.210395', '1235603346.211689')
('1235603346.243824', '1235603346.242944')
('1235603346.277037', '1235603346.274199')
('1235603346.310405', '1235603346.313268')
('1235603346.343664', '1235603346.344523')
('1235603346.377047', '1235603346.375778')
('1235603346.410305', '1235603346.407033')
('1235603346.443689', '1235603346.446102')
('1235603346.476948', '1235603346.477357')
('1235603346.510328', '1235603346.508613')
('1235603346.543717', '1235603346.539868')
('1235603346.576972', '1235603346.578937')
('1235603346.610352', '1235603346.610192')
('1235603346.643609', '1235603346.641447')
('1235603346.676994', '1235603346.680516')
('1235603346.710253', '1235603346.711771')
('1235603346.743633', '1235603346.743026')
('1235603346.776891', '1235603346.774282')
('1235603346.810274', '1235603346.813351')
('1235603346.843531', '1235603346.844606')
('1235603346.876914', '1235603346.875861')
('1235603346.911552', '1235603346.907116')
('1235603346.943552', '1235603346.946185')
('1235603346.977401', '1235603346.969627')
('1235603347.010191', '1235603347.008696')
('1235603347.044135', '1235603347.43064')
('1235603347.076833', '1235603347.75882')
('1235603347.110217', '1235603347.110275')
('1235603347.143473', '1235603347.149344')
('1235603347.177954', '1235603347.180599')
('1235603347.210112', '1235603347.211854')
('1235603347.243498', '1235603347.243109')
('1235603347.276754', '1235603347.274364')
('1235603347.310138', '1235603347.313434')
('1235603347.343396', '1235603347.344689')
('1235603347.376779', '1235603347.375944')
('1235603347.410025', '1235603347.407199')
('1235603347.443411', '1235603347.446268')
('1235603347.476669', '1235603347.477523')
('1235603347.510052', '1235603347.508778')
('1235603347.543306', '1235603347.540034')
('1235603347.576702', '1235603347.579103')
('1235603347.610072', '1235603347.610358')
('1235603347.643333', '1235603347.641613')
('1235603347.676711', '1235603347.672868')
('1235603347.709971', '1235603347.711937')
('1235603347.743353', '1235603347.743192')
('1235603347.776612', '1235603347.774447')
('1235603347.809993', '1235603347.813516')
('1235603347.843254', '1235603347.844772')
('1235603347.876633', '1235603347.876027')
('1235603347.909897', '1235603347.907282')
('1235603347.943276', '1235603347.946351')
('1235603347.976533', '1235603347.977606')
('1235603348.009914', '1235603348.9934')
('1235603348.043174', '1235603348.43862')
('1235603348.076554', '1235603348.079185')
('1235603348.109944', '1235603348.110441')
('1235603348.143194', '1235603348.141696')
('1235603348.176582', '1235603348.172951')
('1235603348.209835', '1235603348.204206')
('1235603348.243219', '1235603348.243275')
('1235603348.276475', '1235603348.282344')
('1235603348.309889', '1235603348.313599')
('1235603348.343114', '1235603348.344855')
('1235603348.376504', '1235603348.383924')
('1235603348.409757', '1235603348.407365')
('1235603348.44314', '1235603348.43862')
('1235603348.476397', '1235603348.477689')
('1235603348.509776', '1235603348.508944')
('1235603348.543029', '1235603348.548013')
('1235603348.576413', '1235603348.579268')
('1235603348.609795', '1235603348.610524')
('1235603348.643052', '1235603348.641779')
('1235603348.676437', '1235603348.673034')
('1235603348.709692', '1235603348.712103')
('1235603348.743075', '1235603348.743358')
('1235603348.776331', '1235603348.774613')
('1235603348.809717', '1235603348.805868')
('1235603348.842972', '1235603348.844938')
('1235603348.876357', '1235603348.876193')
('1235603348.909612', '1235603348.907448')
('1235603348.942998', '1235603348.946517')
('1235603348.976393', '1235603348.977772')
('1235603349.009637', '1235603349.009027')
('1235603349.043131', '1235603349.040282')
('1235603349.076275', '1235603349.73571')
('1235603349.109821', '1235603349.110606')
('1235603349.142919', '1235603349.141862')
('1235603349.1767', '1235603349.001213')
('1235603349.209556', '1235603349.212186')
('1235603349.243363', '1235603349.243441')
('1235603349.276199', '1235603349.274696')
('1235603349.309582', '1235603349.305951')
('1235603349.342839', '1235603349.337207')
('1235603349.377135', '1235603349.376276')
('1235603349.409477', '1235603349.407531')
('1235603349.44286', '1235603349.048096')
('1235603349.476118', '1235603349.477855')
('1235603349.509504', '1235603349.516924')
('1235603349.542757', '1235603349.540365')
('1235603349.57614', '1235603349.57162')
('1235603349.609393', '1235603349.610689')
('1235603349.642772', '1235603349.641945')
('1235603349.676154', '1235603349.681014')
('1235603349.709414', '1235603349.712269')
('1235603349.742795', '1235603349.743524')
('1235603349.776054', '1235603349.774779')
('1235603349.809434', '1235603349.806034')
('1235603349.843503', '1235603349.845103')
('1235603349.876075', '1235603349.876359')
('1235603349.910591', '1235603349.907614')
('1235603349.942717', '1235603349.938869')
('1235603349.975977', '1235603349.977938')
('1235603350.00936', '1235603350.1264')
('1235603350.043703', '1235603350.41551')
('1235603350.075999', '1235603350.74369')
('1235603350.109255', '1235603350.110772')
('1235603350.142638', '1235603350.142028')
('1235603350.176024', '1235603350.173283')
('1235603350.20928', '1235603350.18891')
('1235603350.24396', '1235603350.024821')
('1235603350.275917', '1235603350.274862')
('1235603350.310127', '1235603350.313931')
('1235603350.342557', '1235603350.345186')
('1235603350.375942', '1235603350.376441')
('1235603350.409197', '1235603350.407696')
('1235603350.442583', '1235603350.438952')
('1235603350.475838', '1235603350.478021')
('1235603350.509226', '1235603350.509276')
('1235603350.542478', '1235603350.540531')
('1235603350.575862', '1235603350.571786')
('1235603350.609117', '1235603350.610855')
('1235603350.642503', '1235603350.649924')
('1235603350.675884', '1235603350.673366')
('1235603350.709133', '1235603350.712435')
('1235603350.742517', '1235603350.735876')
('1235603350.775786', '1235603350.774945')
('1235603350.809155', '1235603350.814014')
('1235603350.842417', '1235603350.845269')
('1235603350.875796', '1235603350.876524')
('1235603350.909053', '1235603350.907779')
('1235603350.942437', '1235603350.939035')
('1235603350.975694', '1235603350.978104')
('1235603351.009078', '1235603351.009359')
('1235603351.042337', '1235603351.42349')
('1235603351.075718', '1235603351.071869')
('1235603351.10898', '1235603351.09531')
('1235603351.142362', '1235603351.142193')
('1235603351.175742', '1235603351.173449')
('1235603351.209', '1235603351.0328')
('1235603351.242382', '1235603351.243773')
('1235603351.275637', '1235603351.275028')
('1235603351.309192', '1235603351.306283')
('1235603351.342281', '1235603351.345352')
('1235603351.375945', '1235603351.376607')
('1235603351.408917', '1235603351.407862')
('1235603351.442716', '1235603351.439117')
('1235603351.475561', '1235603351.478187')
('1235603351.509393', '1235603351.509442')
('1235603351.542199', '1235603351.540697')
('1235603351.575583', '1235603351.571952')
('1235603351.608842', '1235603351.611021')
('1235603351.642221', '1235603351.642276')
('1235603351.675478', '1235603351.673531')
('1235603351.708864', '1235603351.704787')
('1235603351.742248', '1235603351.743855')
('1235603351.775504', '1235603351.775111')
('1235603351.808877', '1235603351.806366')
('1235603351.842134', '1235603351.845435')
('1235603351.875515', '1235603351.868876')
('1235603351.908776', '1235603351.907945')
('1235603351.942153', '1235603351.947014')
('1235603351.975419', '1235603351.978269')
('1235603352.008796', '1235603352.009525')
('1235603352.042056', '1235603352.048594')
('1235603352.075434', '1235603352.78309')
('1235603352.108694', '1235603352.111104')
('1235603352.142076', '1235603352.142359')
('1235603352.175334', '1235603352.173614')
('1235603352.20872', '1235603352.20487')
('1235603352.2421', '1235603352.001711')
('1235603352.275638', '1235603352.275194')
('1235603352.308739', '1235603352.306449')
('1235603352.341997', '1235603352.345518')
('1235603352.375379', '1235603352.376773')
('1235603352.408639', '1235603352.408028')
('1235603352.442021', '1235603352.439283')
('1235603352.47528', '1235603352.048594')
('1235603352.508698', '1235603352.509608')
('1235603352.541918', '1235603352.540863')
('1235603352.575302', '1235603352.572118')
('1235603352.60856', '1235603352.064221')
('1235603352.641944', '1235603352.642442')
('1235603352.675198', '1235603352.673697')
('1235603352.708684', '1235603352.704952')
('1235603352.741963', '1235603352.744021')
('1235603352.775226', '1235603352.775277')
('1235603352.808603', '1235603352.806532')
('1235603352.841864', '1235603352.845601')
('1235603352.875245', '1235603352.876856')
('1235603352.908497', '1235603352.908111')
('1235603352.941877', '1235603352.939366')
('1235603352.975135', '1235603352.978435')
('1235603353.008517', '1235603353.009691')
('1235603353.041777', '1235603353.040946')
('1235603353.075156', '1235603353.072201')
('1235603353.108418', '1235603353.103456')
('1235603353.141799', '1235603353.142525')
('1235603353.175055', '1235603353.181594')
('1235603353.208438', '1235603353.205035')
('1235603353.241821', '1235603353.244104')
('1235603353.275078', '1235603353.275359')
('1235603353.308462', '1235603353.306615')
('1235603353.341718', '1235603353.345684')
('1235603353.37633', '1235603353.40038')
('1235603353.40836', '1235603353.040946')
('1235603353.442631', '1235603353.439449')
('1235603353.474998', '1235603353.478518')
('1235603353.509299', '1235603353.509773')
('1235603353.541643', '1235603353.541028')
('1235603353.576033', '1235603353.572284')
('1235603353.608279', '1235603353.611353')
('1235603353.641663', '1235603353.642608')
('1235603353.674922', '1235603353.673863')
('1235603353.708302', '1235603353.705118')
('1235603353.741558', '1235603353.744187')
('1235603353.774944', '1235603353.775442')
('1235603353.808328', '1235603353.806698')
('1235603353.841584', '1235603353.837953')
('1235603353.874966', '1235603353.877022')
('1235603353.908227', '1235603353.908277')
('1235603353.941609', '1235603353.939532')
('1235603353.974865', '1235603353.978601')
('1235603354.008241', '1235603354.08018')
('1235603354.041495', '1235603354.041111')
('1235603354.074879', '1235603354.072366')
('1235603354.108149', '1235603354.111436')
('1235603354.141522', '1235603354.142691')
('1235603354.1748', '1235603354.01767')
('1235603354.208162', '1235603354.205201')
('1235603354.241416', '1235603354.236456')
('1235603354.2748', '1235603354.002043')
('1235603354.30818', '1235603354.30678')
('1235603354.341441', '1235603354.338036')
('1235603354.374868', '1235603354.377105')
('1235603354.40808', '1235603354.40836')
('1235603354.441463', '1235603354.439615')
('1235603354.47472', '1235603354.47087')
('1235603354.508385', '1235603354.509939')
('1235603354.541359', '1235603354.541194')
('1235603354.574748', '1235603354.572449')
('1235603354.608', '1235603354.01767')
('1235603354.641383', '1235603354.642774')
('1235603354.674643', '1235603354.674029')
('1235603354.708024', '1235603354.705284')
('1235603354.741282', '1235603354.744353')
('1235603354.774664', '1235603354.775608')
('1235603354.808047', '1235603354.806863')
('1235603354.841304', '1235603354.838119')
('1235603354.874725', '1235603354.877187')
('1235603354.907946', '1235603354.908443')
('1235603354.941328', '1235603354.939698')
('1235603354.974586', '1235603354.970953')
('1235603355.007968', '1235603355.08816')
('1235603355.041227', '1235603355.041277')
('1235603355.07461', '1235603355.08816')
('1235603355.107858', '1235603355.111601')
('1235603355.141241', '1235603355.142857')
('1235603355.174501', '1235603355.174112')
('1235603355.207879', '1235603355.205367')
('1235603355.241138', '1235603355.244436')
('1235603355.274522', '1235603355.275691')
('1235603355.307908', '1235603355.306946')
('1235603355.341163', '1235603355.338202')
('1235603355.374547', '1235603355.369457')
('1235603355.407802', '1235603355.408526')
('1235603355.441187', '1235603355.439781')
('1235603355.474445', '1235603355.471036')
('1235603355.507825', '1235603355.510105')
('1235603355.541084', '1235603355.533546')
('1235603355.574468', '1235603355.572615')
('1235603355.607724', '1235603355.611684')
('1235603355.641108', '1235603355.635126')
('1235603355.674365', '1235603355.674195')
('1235603355.707746', '1235603355.713264')
('1235603355.741004', '1235603355.744519')
('1235603355.774391', '1235603355.775774')
('1235603355.807647', '1235603355.807029')
('1235603355.84103', '1235603355.080346')
('1235603355.874411', '1235603355.877353')
('1235603355.907667', '1235603355.908608')
('1235603355.941052', '1235603355.939864')
('1235603355.974312', '1235603355.971119')
('1235603356.007694', '1235603356.09614')
('1235603356.040946', '1235603356.041443')
('1235603356.074332', '1235603356.072698')
('1235603356.107588', '1235603356.103953')
('1235603356.140976', '1235603356.143022')
('1235603356.174231', '1235603356.174278')
('1235603356.207605', '1235603356.205533')
('1235603356.240863', '1235603356.244602')
('1235603356.274246', '1235603356.275857')
('1235603356.307502', '1235603356.307112')
('1235603356.340885', '1235603356.338367')
('1235603356.37427', '1235603356.38525')
('1235603356.407528', '1235603356.408691')
('1235603356.44091', '1235603356.44776')
('1235603356.474166', '1235603356.471202')
('1235603356.507549', '1235603356.510271')
('1235603356.540812', '1235603356.541526')
('1235603356.57419', '1235603356.54934')
('1235603356.607447', '1235603356.604036')
('1235603356.640831', '1235603356.643105')
('1235603356.674089', '1235603356.674361')
('1235603356.707467', '1235603356.705616')
('1235603356.740729', '1235603356.736871')
('1235603356.774108', '1235603356.768126')
('1235603356.807368', '1235603356.807195')
('1235603356.840752', '1235603356.846264')
('1235603356.874131', '1235603356.877519')
('1235603356.907389', '1235603356.908774')
('1235603356.940771', '1235603356.940029')
('1235603356.974031', '1235603356.971285')
('1235603357.007411', '1235603357.06505')
('1235603357.040671', '1235603357.041609')
('1235603357.074051', '1235603357.74485')
('1235603357.107307', '1235603357.104119')
('1235603357.140693', '1235603357.143188')
('1235603357.173947', '1235603357.174443')
('1235603357.207331', '1235603357.205698')
('1235603357.240591', '1235603357.236954')
('1235603357.273972', '1235603357.276023')
('1235603357.307218', '1235603357.307278')
('1235603357.340604', '1235603357.338533')
('1235603357.373987', '1235603357.377602')
('1235603357.407245', '1235603357.408857')
('1235603357.440627', '1235603357.440112')
('1235603357.473885', '1235603357.471368')
('1235603357.507264', '1235603357.510437')
('1235603357.540525', '1235603357.541692')
('1235603357.573904', '1235603357.572947')
('1235603357.607165', '1235603357.604202')
('1235603357.640544', '1235603357.643271')
('1235603357.673806', '1235603357.674526')
('1235603357.707185', '1235603357.705781')
('1235603357.740446', '1235603357.737037')
('1235603357.773824', '1235603357.776106')
('1235603357.807085', '1235603357.807361')
('1235603357.840465', '1235603357.838616')
('1235603357.873862', '1235603357.877685')
('1235603357.90711', '1235603357.90894')
('1235603357.940492', '1235603357.940195')
('1235603357.973749', '1235603357.971451')
('1235603358.007135', '1235603358.07303')
('1235603358.040396', '1235603358.041775')
('1235603358.073777', '1235603358.75283')
('1235603358.107031', '1235603358.104285')
('1235603358.140414', '1235603358.143354')
('1235603358.173668', '1235603358.174609')
('1235603358.207057', '1235603358.205864')
('1235603358.240313', '1235603358.237119')
('1235603358.273694', '1235603358.276189')
('1235603358.306948', '1235603358.307444')
('1235603358.340425', '1235603358.338699')
('1235603358.373592', '1235603358.369954')
('1235603358.406966', '1235603358.409023')
('1235603358.440355', '1235603358.440278')
('1235603358.47361', '1235603358.46372')
('1235603358.506989', '1235603358.510602')
('1235603358.540254', '1235603358.541857')
('1235603358.573635', '1235603358.573113')
('1235603358.606891', '1235603358.604368')
('1235603358.640273', '1235603358.643437')
('1235603358.673536', '1235603358.674692')
('1235603358.706912', '1235603358.705947')
('1235603358.740173', '1235603358.737202')
('1235603358.77356', '1235603358.75283')
('1235603358.806813', '1235603358.807527')
('1235603358.840194', '1235603358.838782')
('1235603358.87345', '1235603358.088657')
('1235603358.906837', '1235603358.909106')
('1235603358.940219', '1235603358.940361')
('1235603358.973476', '1235603358.971616')
('1235603359.006856', '1235603359.04194')
('1235603359.040118', '1235603359.37012')
('1235603359.0735', '1235603359.002872')
('1235603359.106756', '1235603359.104451')
('1235603359.14014', '1235603359.14352')
('1235603359.173396', '1235603359.174775')
('1235603359.206783', '1235603359.213844')
('1235603359.240036', '1235603359.237285')
('1235603359.273419', '1235603359.276354')
('1235603359.306676', '1235603359.299796')
('1235603359.340059', '1235603359.338865')
('1235603359.373317', '1235603359.377934')
('1235603359.406698', '1235603359.409189')
('1235603359.440078', '1235603359.440444')
('1235603359.473339', '1235603359.471699')
('1235603359.506714', '1235603359.502954')
('1235603359.53997', '1235603359.057568')
('1235603359.573354', '1235603359.573278')
('1235603359.606611', '1235603359.604534')
('1235603359.639994', '1235603359.643603')
('1235603359.673251', '1235603359.674858')
('1235603359.706634', '1235603359.706113')
('1235603359.739892', '1235603359.737368')
('1235603359.773273', '1235603359.776437')
('1235603359.80653', '1235603359.081009')
('1235603359.839913', '1235603359.838948')
('1235603359.873171', '1235603359.870203')
('1235603359.906597', '1235603359.909272')
('1235603359.939935', '1235603359.940527')
('1235603359.973191', '1235603359.971782')
('1235603360.006575', '1235603360.6047')
('1235603360.039832', '1235603360.042106')
('1235603360.073216', '1235603360.073361')
('1235603360.106471', '1235603360.104617')
('1235603360.139857', '1235603360.143686')
('1235603360.173113', '1235603360.174941')
('1235603360.206497', '1235603360.206196')
('1235603360.239752', '1235603360.237451')
('1235603360.273137', '1235603360.268706')
('1235603360.306392', '1235603360.307775')
('1235603360.339778', '1235603360.339031')
('1235603360.373034', '1235603360.370286')
('1235603360.406418', '1235603360.409355')
('1235603360.439672', '1235603360.432796')
('1235603360.473058', '1235603360.471865')
